	choice1	choice2	id	key_step1	key_step2	reward	rt_step1	rt_step2	step2state
0	1.0	0.0	1	j	f	1.0	2.0859940052	2.02177500725	1.0
1	1.0	0.0	1	j	f	1.0	1.60184884071	2.33997392654	1.0
2	0.0	0.0	1	f	f	1.0	2.5876019001	2.26362609863	1.0
3	0.0	0.0	1	j	j	0.0	1.26827406883	1.1742708683	0.0
4	1.0	0.0	1	f	f	0.0	1.92821288109	1.84411597252	1.0
5	1.0	0.0	1	j	j	0.0	0.900675058365	1.09799981117	1.0
6	1.0	1.0	1	f	j	0.0	0.511856079102	0.918805837631	0.0
7	0.0	1.0	1	j	j	1.0	0.497941017151	1.80095791817	0.0
8	1.0	0.0	1	j	f	0.0	1.29465794563	1.69129014015	1.0
9	0.0	1.0	1	j	j	0.0	1.75391507149	0.115975141525	1.0
